	tname	tnumber
AFPRL	 Introduction to Black Politics 	10000 
AFPRL	 Introduction to Africana Studies 	10000 
AFPRL	 Latino Communities in the United States 	10000 
AFPRL	 Conquest and Resistance: Puerto Rican Experiences in Comparative Perspective 	10000 
AFPRL	 Introduction to Puerto Rican and Latino Studies 	10000 
AFPRL	 Puerto Rican Folklore 	10000 
AFPRL	 The Image of the Puerto Rican National Identity in Its Literature 	10000 
AFPRL	 African History from Human Origins to 1600 CE 	10000 
AFPRL	 African History Since 1600 CE 	10000 
AFPRL	 African American History I 	10000 
AFPRL	 African American History II 	10000 
AFPRL	 African American Politics of Social Change 	10000 
AFPRL	 African Political and Social Change 	10000 
AFPRL	 African Caribbean Politics I 	10000 
AFPRL	 African Caribbean Politics II 	10000 
AFPRL	 Introduction to Caribbean History to 1900 	10000 
AFPRL	 Introduction to Caribbean History: 1900 - Present 	10000 
AFPRL	 Black Economic History 	10000 
AFPRL	 African Spirituality in the Diaspora 	10000 
AFPRL	 African Civilization 	10000 
AFPRL	 African Literature  	10000 
AFPRL	 African American Literature  	10000 
AFPRL	 African Caribbean Literature  	10000 
AFPRL	 Introduction to the Literature of the African Diaspora  	10000 
AFPRL	 Puerto Rican History to 1897 	24100 
AFPRL	 Puerto Rican History Since 1898 	24200 
AFPRL	 Puerto Rican Culture 	24300 
AFPRL	 Puerto Ricans in the United States 	24400 
AFPRL	 Puerto Rican Literature I 	24500 
AFPRL	 Puerto Rican Literature II 	24600 
AFPRL	 Puerto Ricans in the U.S. as a Literary Theme 	24700 
AFPRL	 Puerto Rican/Latino Children in North American Schools 	25500 
AFPRL	 Latinos and US Citizenship 	26000 
AFPRL	 Economic History of Puerto Ricans 	27000 
AFPRL	 Fieldwork in African American/Latino Communities 	28100 
AFPRL	 Selected Topics in Africana and Puerto Rican/Latino Studies 	29000 
AFPRL	 Leaders and Movements of Black Urban Communities  	30400 
AFPRL	 Modern African International Relations  	30600 
AFPRL	 Contemporary African Politics  	30700 
AFPRL	 Contemporary International Relations of the African-Caribbean  	30800 
AFPRL	 African-Americans and Africa  	30900 
AFPRL	 Modern Nigeria  	31000 
AFPRL	 Slavery  	31300 
AFPRL	 Women in Africa  	31800 
AFPRL	 Women in the African Diaspora  	31900 
AFPRL	 African-Caribbean Culture  	32000 
AFPRL	 Caribbean Migration and New York City  	32100 
AFPRL	 African-American Women Writers  	33600 
