Original Format,Course Code,Course Code And Number,Course name,Course Number,Subjects
AFPRL 10000 - Introduction to Black Politics ,AFPRL,AFPRL 10000 , Introduction to Black Politics ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 10100 - Introduction to Africana Studies ,AFPRL,AFPRL 10000 , Introduction to Africana Studies ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 10200 - Latino Communities in the United States ,AFPRL,AFPRL 10000 , Latino Communities in the United States ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 10300 - Conquest and Resistance: Puerto Rican Experiences in Comparative Perspective ,AFPRL,AFPRL 10000 , Conquest and Resistance: Puerto Rican Experiences in Comparative Perspective ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 10400 - Introduction to Puerto Rican and Latino Studies ,AFPRL,AFPRL 10000 , Introduction to Puerto Rican and Latino Studies ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 14100 - Puerto Rican Folklore ,AFPRL,AFPRL 10000 , Puerto Rican Folklore ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 14300 - The Image of the Puerto Rican National Identity in Its Literature ,AFPRL,AFPRL 10000 , The Image of the Puerto Rican National Identity in Its Literature ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 20100 - African History from Human Origins to 1600 CE ,AFPRL,AFPRL 10000 , African History from Human Origins to 1600 CE ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 20200 - African History Since 1600 CE ,AFPRL,AFPRL 10000 , African History Since 1600 CE ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 20300 - African American History I ,AFPRL,AFPRL 10000 , African American History I ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 20400 - African American History II ,AFPRL,AFPRL 10000 , African American History II ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 20500 - African American Politics of Social Change ,AFPRL,AFPRL 10000 , African American Politics of Social Change ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 20600 - African Political and Social Change ,AFPRL,AFPRL 10000 , African Political and Social Change ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 20700 - African Caribbean Politics I ,AFPRL,AFPRL 10000 , African Caribbean Politics I ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 20800 - African Caribbean Politics II ,AFPRL,AFPRL 10000 , African Caribbean Politics II ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 20900 - Introduction to Caribbean History to 1900 ,AFPRL,AFPRL 10000 , Introduction to Caribbean History to 1900 ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 21000 - Introduction to Caribbean History: 1900 - Present ,AFPRL,AFPRL 10000 , Introduction to Caribbean History: 1900 - Present ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 21100 - Black Economic History ,AFPRL,AFPRL 10000 , Black Economic History ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 22000 - African Spirituality in the Diaspora ,AFPRL,AFPRL 10000 , African Spirituality in the Diaspora ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 22200 - African Civilization ,AFPRL,AFPRL 10000 , African Civilization ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 23500 - African Literature  ,AFPRL,AFPRL 10000 , African Literature  ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 23600 - African American Literature  ,AFPRL,AFPRL 10000 , African American Literature  ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 23700 - African Caribbean Literature  ,AFPRL,AFPRL 10000 , African Caribbean Literature  ,10000 ,Africana and Puerto Rican/Latino Studies
AFPRL 23800 - Introduction to the Literature of the African Diaspora  ,AFPRL,AFPRL 10000 , Introduction to the Literature of the African Diaspora  ,10000 ,Africana and Puerto Rican/Latino Studies
