abbrev,name
AFPRL,Africana and Puerto Rican/Latino Studies
ANTHC,Anthropology
ANTHP,Anthropology
ARB,Arabic
CLA,Archaeology / Classics / Classical Literature
ARTH,Art Theory and History
ARTLA,Studio Art
ARTCR,Studio Art
ASIAN,Asian American Studies
ASTRO,Astronomy
BIOL,Biological Sciences
CHEM,Chemistry
CHIN,Chinese Language and Literature
COMHE,Community Health
COMPL,Comparative Literature
CSCI,Computer Science
DAN,Dance
ECC,Economics
ECO,Economics
ECF,Education
SPED,Special Education
SEDCP,Education
SEDC,Education
SEDF,Education
QSTAP,Education
QSTB,Education
QSTA,Education
QSTP,Education
QSTAB,Education
QSTB,Education
DANEP,Education
DANED,Education
HEDP,Education
HED,Education
EDUC,Education
ENGL,English
XXX XXXXX,English Composition Workshops
FILPL,Film
FILM,Film
FILMP,Film
MEDPL,Media
MEDP,Media
MEDIA,Media
GEOG,Geography
GTECH,Geographic Techniques and Methods
PGEOG,Physical Geography
GEOL,Geology
GERMN,German
GRMN,German Literature and Civilization (in English)
GERMN,German Literature and Civilization (in English)
GRK,Greek
HEBR,Hebrew
HIST,History
HR,Human Rights
HUM,Humanities and The Arts
JPN,Japanese
JS,Jewish Studies
JSS,Jewish Studies
LAT,Latin
LACS,Latin American and Caribbean Studies
MHC,Macaulay Honors
MATH,Mathematics and Statistics
STAT,Mathematics and Statistics
MLSP,Medical Laboratory Science
MLS,Medical Laboratory Science
MUSHL,Music
MUSPF,Music Performance
MUSTH,Music Theory
MUSIN,Music Individual Study
NURS,Nursing
NFS,Nutrition and Food Sciences
PORT,Portuguese Language
PHILO,Philosophy
PHYS,Physics
POLSC,Political Science
PSYCH,Psychology
PUPOL,Public Policy
REL,Religion
FREN,Romance Languages French
ITAL,"Romance Languages, Division II"
SPAN,"Romance Languages, Division III, Spanish"
POL,Russian and Slavic Studies
RUSS,Russian and Slavic Studies
UKR,Russian and Slavic Studies
SCI,Sciences and Mathematics
SOSCI,Social Sciences
SOSC,Social Sciences
SOC,Sociology
SWA,Swahili
THEA,Theatre
HONS,Thomas Hunter Honors Program
URBS,Urban Policy and Planning
WGSA,Women and Gender Studies
WGSP,Women and Gender Studies
WGSI,Women and Gender Studies
WGSC,Women and Gender Studies
WGSL,Women and Gender Studies
WGSS,Women and Gender Studies
WGST,Women and Gender Studies
WGS,Women and Gender Studies
YOR,Yoruba
ACSK,SEEK
ACC,Accounting
ACCP,Accounting
SW,Social Work
